Epoch: 0, training loss: 2.1786, eval acc: 0.5725
Epoch: 1, training loss: 1.8099, eval acc: 0.8083
Epoch: 2, training loss: 1.6669, eval acc: 0.8258
Epoch: 3, training loss: 1.6419, eval acc: 0.8315
Epoch: 4, training loss: 1.6319, eval acc: 0.8351
Epoch: 5, training loss: 1.6260, eval acc: 0.8375
Epoch: 6, training loss: 1.6220, eval acc: 0.8396
Epoch: 7, training loss: 1.6189, eval acc: 0.8405
Epoch: 8, training loss: 1.6164, eval acc: 0.8422
Epoch: 9, training loss: 1.6143, eval acc: 0.8433
Epoch: 10, training loss: 1.6125, eval acc: 0.8440
Epoch: 11, training loss: 1.6108, eval acc: 0.8455
Epoch: 12, training loss: 1.5905, eval acc: 0.9035
Epoch: 13, training loss: 1.5588, eval acc: 0.9108
Epoch: 14, training loss: 1.5504, eval acc: 0.9153
Epoch: 15, training loss: 1.5453, eval acc: 0.9179
Epoch: 16, training loss: 1.5417, eval acc: 0.9205
Epoch: 17, training loss: 1.5387, eval acc: 0.9226
Epoch: 18, training loss: 1.5362, eval acc: 0.9240
Epoch: 19, training loss: 1.5340, eval acc: 0.9253
Epoch: 20, training loss: 1.5320, eval acc: 0.9264
Epoch: 21, training loss: 1.5300, eval acc: 0.9284
Epoch: 22, training loss: 1.5282, eval acc: 0.9302
Epoch: 23, training loss: 1.5265, eval acc: 0.9318
Epoch: 24, training loss: 1.5249, eval acc: 0.9328
Epoch: 25, training loss: 1.5233, eval acc: 0.9341
Epoch: 26, training loss: 1.5219, eval acc: 0.9350
Epoch: 27, training loss: 1.5205, eval acc: 0.9360
Epoch: 28, training loss: 1.5192, eval acc: 0.9367
Epoch: 29, training loss: 1.5179, eval acc: 0.9378
Epoch: 30, training loss: 1.5168, eval acc: 0.9389
Epoch: 31, training loss: 1.5156, eval acc: 0.9396
Epoch: 32, training loss: 1.5146, eval acc: 0.9400
Epoch: 33, training loss: 1.5135, eval acc: 0.9409
Epoch: 34, training loss: 1.5125, eval acc: 0.9414
Epoch: 35, training loss: 1.5116, eval acc: 0.9433
Epoch: 36, training loss: 1.5107, eval acc: 0.9436
Epoch: 37, training loss: 1.5098, eval acc: 0.9445
Epoch: 38, training loss: 1.5089, eval acc: 0.9452
Epoch: 39, training loss: 1.5080, eval acc: 0.9456
Epoch: 40, training loss: 1.5072, eval acc: 0.9466
Epoch: 41, training loss: 1.5064, eval acc: 0.9470
Epoch: 42, training loss: 1.5056, eval acc: 0.9480
Epoch: 43, training loss: 1.5048, eval acc: 0.9485
Epoch: 44, training loss: 1.5041, eval acc: 0.9493
Epoch: 45, training loss: 1.5033, eval acc: 0.9500
Epoch: 46, training loss: 1.5026, eval acc: 0.9502
Epoch: 47, training loss: 1.5019, eval acc: 0.9506
