Epoch: 0, training loss: 1.9968, eval acc: 0.7367
Epoch: 1, training loss: 1.7198, eval acc: 0.7511
Epoch: 2, training loss: 1.7035, eval acc: 0.7555
Epoch: 3, training loss: 1.6920, eval acc: 0.8142
Epoch: 4, training loss: 1.6427, eval acc: 0.8278
Epoch: 5, training loss: 1.6300, eval acc: 0.8329
Epoch: 6, training loss: 1.6238, eval acc: 0.8366
Epoch: 7, training loss: 1.6195, eval acc: 0.8391
Epoch: 8, training loss: 1.6160, eval acc: 0.8407
Epoch: 9, training loss: 1.6128, eval acc: 0.8423
Epoch: 10, training loss: 1.6101, eval acc: 0.8446
Epoch: 11, training loss: 1.6076, eval acc: 0.8466
Epoch: 12, training loss: 1.6053, eval acc: 0.8481
Epoch: 13, training loss: 1.6032, eval acc: 0.8500
Epoch: 14, training loss: 1.6011, eval acc: 0.8518
Epoch: 15, training loss: 1.5993, eval acc: 0.8533
Epoch: 16, training loss: 1.5976, eval acc: 0.8549
Epoch: 17, training loss: 1.5960, eval acc: 0.8563
Epoch: 18, training loss: 1.5944, eval acc: 0.8573
Epoch: 19, training loss: 1.5930, eval acc: 0.8587
Epoch: 20, training loss: 1.5917, eval acc: 0.8599
Epoch: 21, training loss: 1.5904, eval acc: 0.8611
Epoch: 22, training loss: 1.5893, eval acc: 0.8615
Epoch: 23, training loss: 1.5882, eval acc: 0.8620
Epoch: 24, training loss: 1.5872, eval acc: 0.8632
Epoch: 25, training loss: 1.5862, eval acc: 0.8644
Epoch: 26, training loss: 1.5852, eval acc: 0.8644
Epoch: 27, training loss: 1.5844, eval acc: 0.8647
Epoch: 28, training loss: 1.5835, eval acc: 0.8652
Epoch: 29, training loss: 1.5827, eval acc: 0.8660
Epoch: 30, training loss: 1.5759, eval acc: 0.9360
Epoch: 31, training loss: 1.5116, eval acc: 0.9496
Epoch: 32, training loss: 1.5045, eval acc: 0.9518
Epoch: 33, training loss: 1.5011, eval acc: 0.9537
Epoch: 34, training loss: 1.4987, eval acc: 0.9552
Epoch: 35, training loss: 1.4968, eval acc: 0.9566
Epoch: 36, training loss: 1.4952, eval acc: 0.9582
Epoch: 37, training loss: 1.4939, eval acc: 0.9594
Epoch: 38, training loss: 1.4926, eval acc: 0.9603
Epoch: 39, training loss: 1.4915, eval acc: 0.9612
Epoch: 40, training loss: 1.4905, eval acc: 0.9621
Epoch: 41, training loss: 1.4896, eval acc: 0.9625
Epoch: 42, training loss: 1.4887, eval acc: 0.9635
Epoch: 43, training loss: 1.4878, eval acc: 0.9641
Epoch: 44, training loss: 1.4871, eval acc: 0.9642
Epoch: 45, training loss: 1.4864, eval acc: 0.9650
Epoch: 46, training loss: 1.4857, eval acc: 0.9652
Epoch: 47, training loss: 1.4851, eval acc: 0.9658
Epoch: 48, training loss: 1.4845, eval acc: 0.9660
Epoch: 49, training loss: 1.4839, eval acc: 0.9665
Epoch: 50, training loss: 1.4834, eval acc: 0.9673
Epoch: 51, training loss: 1.4829, eval acc: 0.9678
Epoch: 52, training loss: 1.4824, eval acc: 0.9680
Epoch: 53, training loss: 1.4819, eval acc: 0.9682
Epoch: 54, training loss: 1.4815, eval acc: 0.9685
Epoch: 55, training loss: 1.4810, eval acc: 0.9686
Epoch: 56, training loss: 1.4807, eval acc: 0.9689
Epoch: 57, training loss: 1.4803, eval acc: 0.9690
Epoch: 58, training loss: 1.4799, eval acc: 0.9693
Epoch: 59, training loss: 1.4796, eval acc: 0.9694
