Epoch: 0, training loss: 0.0895, eval acc: 0.1395
Epoch: 1, training loss: 0.0877, eval acc: 0.2516
Epoch: 2, training loss: 0.0804, eval acc: 0.3667
Epoch: 3, training loss: 0.0684, eval acc: 0.5527
Epoch: 4, training loss: 0.0532, eval acc: 0.7053
Epoch: 5, training loss: 0.0405, eval acc: 0.8067
Epoch: 6, training loss: 0.0317, eval acc: 0.8452
Epoch: 7, training loss: 0.0261, eval acc: 0.8645
Epoch: 8, training loss: 0.0226, eval acc: 0.8754
Epoch: 9, training loss: 0.0204, eval acc: 0.8831
Epoch: 10, training loss: 0.0189, eval acc: 0.8883
Epoch: 11, training loss: 0.0178, eval acc: 0.8920
Epoch: 12, training loss: 0.0170, eval acc: 0.8948
Epoch: 13, training loss: 0.0164, eval acc: 0.8975
Epoch: 14, training loss: 0.0158, eval acc: 0.8992
Epoch: 15, training loss: 0.0154, eval acc: 0.9009
Epoch: 16, training loss: 0.0150, eval acc: 0.9028
Epoch: 17, training loss: 0.0147, eval acc: 0.9043
Epoch: 18, training loss: 0.0144, eval acc: 0.9054
Epoch: 19, training loss: 0.0141, eval acc: 0.9065
Epoch: 20, training loss: 0.0139, eval acc: 0.9077
Epoch: 21, training loss: 0.0137, eval acc: 0.9086
Epoch: 22, training loss: 0.0135, eval acc: 0.9093
Epoch: 23, training loss: 0.0133, eval acc: 0.9102
Epoch: 24, training loss: 0.0132, eval acc: 0.9114
Epoch: 25, training loss: 0.0130, eval acc: 0.9125
Epoch: 26, training loss: 0.0129, eval acc: 0.9133
Epoch: 27, training loss: 0.0127, eval acc: 0.9143
Epoch: 28, training loss: 0.0126, eval acc: 0.9150
Epoch: 29, training loss: 0.0125, eval acc: 0.9154
Epoch: 30, training loss: 0.0124, eval acc: 0.9160
Epoch: 31, training loss: 0.0123, eval acc: 0.9166
Epoch: 32, training loss: 0.0122, eval acc: 0.9173
Epoch: 33, training loss: 0.0121, eval acc: 0.9181
Epoch: 34, training loss: 0.0120, eval acc: 0.9181
Epoch: 35, training loss: 0.0119, eval acc: 0.9186
Epoch: 36, training loss: 0.0118, eval acc: 0.9190
Epoch: 37, training loss: 0.0117, eval acc: 0.9197
Epoch: 38, training loss: 0.0116, eval acc: 0.9200
Epoch: 39, training loss: 0.0115, eval acc: 0.9206
Epoch: 40, training loss: 0.0114, eval acc: 0.9209
Epoch: 41, training loss: 0.0113, eval acc: 0.9214
Epoch: 42, training loss: 0.0112, eval acc: 0.9215
Epoch: 43, training loss: 0.0112, eval acc: 0.9218
Epoch: 44, training loss: 0.0111, eval acc: 0.9222
Epoch: 45, training loss: 0.0110, eval acc: 0.9222
Epoch: 46, training loss: 0.0109, eval acc: 0.9227
Epoch: 47, training loss: 0.0108, eval acc: 0.9229
Epoch: 48, training loss: 0.0108, eval acc: 0.9233
Epoch: 49, training loss: 0.0107, eval acc: 0.9241
Epoch: 50, training loss: 0.0106, eval acc: 0.9245
Epoch: 51, training loss: 0.0105, eval acc: 0.9251
Epoch: 52, training loss: 0.0105, eval acc: 0.9254
Epoch: 53, training loss: 0.0104, eval acc: 0.9257
Epoch: 54, training loss: 0.0103, eval acc: 0.9260
Epoch: 55, training loss: 0.0102, eval acc: 0.9261
Epoch: 56, training loss: 0.0102, eval acc: 0.9268
Epoch: 57, training loss: 0.0101, eval acc: 0.9272
Epoch: 58, training loss: 0.0100, eval acc: 0.9278
Epoch: 59, training loss: 0.0100, eval acc: 0.9284
Epoch: 60, training loss: 0.0099, eval acc: 0.9287
Epoch: 61, training loss: 0.0098, eval acc: 0.9288
Epoch: 62, training loss: 0.0098, eval acc: 0.9292
Epoch: 63, training loss: 0.0097, eval acc: 0.9297
Epoch: 64, training loss: 0.0096, eval acc: 0.9300
Epoch: 65, training loss: 0.0096, eval acc: 0.9299
Epoch: 66, training loss: 0.0095, eval acc: 0.9305
Epoch: 67, training loss: 0.0094, eval acc: 0.9310
Epoch: 68, training loss: 0.0093, eval acc: 0.9318
Epoch: 69, training loss: 0.0093, eval acc: 0.9323
Epoch: 70, training loss: 0.0092, eval acc: 0.9325
Epoch: 71, training loss: 0.0092, eval acc: 0.9329
Epoch: 72, training loss: 0.0091, eval acc: 0.9330
Epoch: 73, training loss: 0.0090, eval acc: 0.9336
Epoch: 74, training loss: 0.0090, eval acc: 0.9340
Epoch: 75, training loss: 0.0089, eval acc: 0.9347
Epoch: 76, training loss: 0.0088, eval acc: 0.9348
Epoch: 77, training loss: 0.0088, eval acc: 0.9355
Epoch: 78, training loss: 0.0087, eval acc: 0.9359
Epoch: 79, training loss: 0.0086, eval acc: 0.9364
Epoch: 80, training loss: 0.0086, eval acc: 0.9365
Epoch: 81, training loss: 0.0085, eval acc: 0.9370
Epoch: 82, training loss: 0.0084, eval acc: 0.9378
Epoch: 83, training loss: 0.0084, eval acc: 0.9386
Epoch: 84, training loss: 0.0083, eval acc: 0.9389
Epoch: 85, training loss: 0.0083, eval acc: 0.9392
Epoch: 86, training loss: 0.0082, eval acc: 0.9394
Epoch: 87, training loss: 0.0081, eval acc: 0.9400
Epoch: 88, training loss: 0.0081, eval acc: 0.9404
Epoch: 89, training loss: 0.0080, eval acc: 0.9405
Epoch: 90, training loss: 0.0080, eval acc: 0.9409
Epoch: 91, training loss: 0.0079, eval acc: 0.9415
Epoch: 92, training loss: 0.0079, eval acc: 0.9421
Epoch: 93, training loss: 0.0078, eval acc: 0.9423
Epoch: 94, training loss: 0.0077, eval acc: 0.9426
Epoch: 95, training loss: 0.0077, eval acc: 0.9429
Epoch: 96, training loss: 0.0076, eval acc: 0.9433
Epoch: 97, training loss: 0.0076, eval acc: 0.9436
Epoch: 98, training loss: 0.0075, eval acc: 0.9440
Epoch: 99, training loss: 0.0075, eval acc: 0.9444
