Epoch: 0, training loss: 0.2354, eval acc: 0.0557
Epoch: 1, training loss: 0.2261, eval acc: 0.3342
Epoch: 2, training loss: 0.2162, eval acc: 0.5598
Epoch: 3, training loss: 0.2060, eval acc: 0.6861
Epoch: 4, training loss: 0.1968, eval acc: 0.7527
Epoch: 5, training loss: 0.1871, eval acc: 0.8003
Epoch: 6, training loss: 0.1796, eval acc: 0.8302
Epoch: 7, training loss: 0.1713, eval acc: 0.8438
Epoch: 8, training loss: 0.1648, eval acc: 0.8696
Epoch: 9, training loss: 0.1576, eval acc: 0.8832
Epoch: 10, training loss: 0.1516, eval acc: 0.8954
Epoch: 11, training loss: 0.1462, eval acc: 0.8940
Epoch: 12, training loss: 0.1400, eval acc: 0.9049
Epoch: 13, training loss: 0.1361, eval acc: 0.9198
Epoch: 14, training loss: 0.1313, eval acc: 0.9130
Epoch: 15, training loss: 0.1279, eval acc: 0.9185
Epoch: 16, training loss: 0.1234, eval acc: 0.9226
Epoch: 17, training loss: 0.1204, eval acc: 0.9307
Epoch: 18, training loss: 0.1167, eval acc: 0.9321
Epoch: 19, training loss: 0.1136, eval acc: 0.9293
Epoch: 20, training loss: 0.1105, eval acc: 0.9402
Epoch: 21, training loss: 0.1094, eval acc: 0.9361
Epoch: 22, training loss: 0.1064, eval acc: 0.9416
Epoch: 23, training loss: 0.1039, eval acc: 0.9538
Epoch: 24, training loss: 0.1019, eval acc: 0.9497
Epoch: 25, training loss: 0.1002, eval acc: 0.9565
Epoch: 26, training loss: 0.0980, eval acc: 0.9552
Epoch: 27, training loss: 0.0968, eval acc: 0.9606
Epoch: 28, training loss: 0.0945, eval acc: 0.9620
Epoch: 29, training loss: 0.0930, eval acc: 0.9606
Epoch: 30, training loss: 0.0911, eval acc: 0.9633
Epoch: 31, training loss: 0.0890, eval acc: 0.9620
Epoch: 32, training loss: 0.0883, eval acc: 0.9633
Epoch: 33, training loss: 0.0867, eval acc: 0.9688
Epoch: 34, training loss: 0.0857, eval acc: 0.9592
Epoch: 35, training loss: 0.0843, eval acc: 0.9755
Epoch: 36, training loss: 0.0836, eval acc: 0.9688
Epoch: 37, training loss: 0.0828, eval acc: 0.9783
Epoch: 38, training loss: 0.0797, eval acc: 0.9769
Epoch: 39, training loss: 0.0797, eval acc: 0.9810
Epoch: 40, training loss: 0.0782, eval acc: 0.9837
Epoch: 41, training loss: 0.0761, eval acc: 0.9823
Epoch: 42, training loss: 0.0771, eval acc: 0.9796
Epoch: 43, training loss: 0.0752, eval acc: 0.9878
Epoch: 44, training loss: 0.0738, eval acc: 0.9864
Epoch: 45, training loss: 0.0734, eval acc: 0.9864
Epoch: 46, training loss: 0.0730, eval acc: 0.9837
Epoch: 47, training loss: 0.0727, eval acc: 0.9878
Epoch: 48, training loss: 0.0713, eval acc: 0.9878
Epoch: 49, training loss: 0.0710, eval acc: 0.9878
